,Condicion,Power Alpha,Power Beta,Power Alpha Normalized,Power Beta Normalized
0,0,114814.57142535107,280057.2239477244,0.1738357033234157,0.42402235092092666
1,1,122491.30162387036,688234.0222174149,0.10057938310911133,0.5651189306640564
2,1,152170.31917851468,901429.8297812096,0.1231294659358145,0.7293969948854773
3,0,58602.68058838184,161696.20357712053,0.1687641475381922,0.4656531353663839
4,1,76707.96742364936,280918.34793856286,0.13256342983095243,0.48547107889733593
5,1,117368.30022487624,898032.2890049814,0.082660303318963,0.6324673805205283
6,1,177886.00123018151,1276628.42022934,0.10476286542968487,0.7518480963498414
7,0,57574.846359874166,130336.74056021955,0.14705551164156366,0.3329012108686193
8,1,99667.14025458864,718609.1946230492,0.0945163621399424,0.6814716134383864
9,1,97365.11611937756,229254.4819795483,0.14509258546050288,0.3416328850061415
10,0,110916.76834685291,503717.3109772705,0.11256599555546262,0.5112071099237523
11,0,99412.07098904267,500721.56625480735,0.09954058644889813,0.5013688766036067
12,0,96938.84409610405,326888.28573986155,0.1317936027872146,0.4444223086039899
13,1,106247.90749381618,605963.1756367657,0.09346946700676433,0.533083957966808
14,0,65663.61881345484,128606.26146751847,0.18404801947344832,0.3604694371509596
15,1,265628.89344372234,744355.8531241171,0.10446137906117721,0.29272583235030597
16,0,101140.27677742085,399616.17994936544,0.13048020374671673,0.5155414068623382
17,0,208727.19706922522,170049.90373441376,0.39155050986411766,0.31899593078649574
18,1,236239.7314721706,1592615.837808227,0.11016357095246022,0.7426703660517264
19,1,109855.1658098229,372557.9139185375,0.1314422065319056,0.44576724185325106
20,0,68691.57828385053,146336.9766538892,0.18551085261021674,0.39520270149108927
21,0,121608.63550687564,281555.23756236327,0.19490811545371572,0.4512623673530219
22,1,89519.47805925396,250691.74017248114,0.15170124648675717,0.4248265326449624
23,1,119812.84866646248,827720.9667157013,0.09937149259674703,0.6865028987428226
24,0,110946.45253078626,572578.0633878103,0.12525758022598374,0.64643565498893
25,0,81242.80421215501,481649.4182358356,0.11201648561944791,0.6640917390116119
26,0,101357.48788469427,252117.97894909966,0.14203742805014272,0.35330580939287215
27,0,66205.93761564988,126428.33808090568,0.1768961173307421,0.3378047790354685
28,0,61527.777431295865,144410.20337385914,0.16848117966508322,0.3954376776777054
29,1,86757.9172425947,223652.97222277976,0.1737822420621134,0.4479927157316326
30,1,96921.99835466524,344616.49150499713,0.1321347153277412,0.4698190583692802
31,0,105834.21522070841,281148.140023084,0.16903554722833003,0.44904220815472357
32,1,88129.99374807067,433888.34250538435,0.1351224892828269,0.6652453996277609
33,1,124548.69669837778,560390.9189530247,0.08206969380988877,0.36926208263499194
34,1,75414.49573718611,241120.11381080063,0.16584639065319523,0.5302548296386848
35,0,139802.46551556606,682266.2869645993,0.11407961737519523,0.5567332212481653
36,0,163886.8780160852,168811.72008940292,0.3885425958458982,0.4002183989758483
37,0,77938.84244423914,290757.68465191085,0.11746891275553303,0.43822807755724724
38,1,86613.21067680114,191590.03425572749,0.1485959166289627,0.32869693358255314
39,1,126058.09229374355,1088270.9394311854,0.08290156062687494,0.715696688900299
40,1,70155.26386859112,159156.70281327,0.16322875137664533,0.3703064950635128
41,0,150745.1852893393,192763.7731122509,0.33551466272015334,0.42903574131594396
42,0,77826.83098136823,213872.857974424,0.15086362917798204,0.4145824149567792
43,0,177301.11610811236,288637.24559394416,0.3041155738996056,0.4950847660715173
44,1,156907.90307864588,605052.3212577148,0.11814226906135909,0.45556822015778425
45,1,126153.27161018105,632768.7198711227,0.11721946521756418,0.5879578864897995
46,1,83099.72316079919,516369.7571795951,0.10350112147746812,0.6431411192756854
47,0,76395.1220140879,203426.27946787863,0.15571473956990134,0.4146399572890699
48,0,131239.3931228172,503141.0896601505,0.1451090511518884,0.5563141094974946
49,0,67139.24813986487,175140.81890143992,0.16747281145689094,0.4368730087829274
50,0,98738.67480011703,373555.2841301606,0.1342121313801703,0.5077610264967272
51,1,80777.36697040487,219997.2528085797,0.14382746130960347,0.39171425800667514
52,1,187142.1932981721,731838.7017996332,0.07737151665022446,0.30256923520903317
53,0,136739.93849227775,663391.2713210821,0.12937061307193648,0.6276391259472924
54,1,199834.54101073008,1432909.340820273,0.09762142000026355,0.6999923230239045
55,1,129486.23282210753,825463.6746164004,0.1066954482869282,0.6801743698016899
56,0,64579.24516334878,153529.373545137,0.16350531526900125,0.38871418458134493
57,0,190746.5058778184,191369.62273452288,0.38367352465924076,0.3849268815141209
58,1,74524.33518626666,221478.3215119464,0.14444029329582914,0.4292610412142082
59,0,143842.43072650756,773254.0205122835,0.11468612572291562,0.6165184178570706
60,0,82707.31225536657,252756.67932584355,0.12827765067759422,0.3920213598149594
61,0,73020.3788913056,131512.65006895637,0.16051293777695458,0.28909028052050084
62,1,127785.81614308374,1051013.967863705,0.09715722801168837,0.7990996716322971
63,0,172856.69899557804,228821.15962590987,0.31763878281463354,0.4204782056359084
64,1,88355.05837043046,178071.35448918198,0.1862877710996048,0.375445575344434
65,1,90838.42991792959,334374.50405436597,0.14843949947965313,0.5464029273230596
66,1,78822.92409934339,207614.0483413065,0.16140467894852473,0.42512859299026196
67,1,94619.50583045241,441302.3328568991,0.14645962446205735,0.6830829793199972
68,0,70645.28544758607,249269.5916505249,0.10779887753165869,0.38036483273378413
69,0,67394.5272761343,117249.21024033445,0.2074871564338497,0.36097449170025586
70,0,84863.360762483,479416.1211493833,0.11439788563198058,0.6462646553778814
71,1,108387.85373329534,682109.3446694734,0.11873173865989718,0.747205758387401
72,1,94785.64776025293,211638.24498594916,0.14857813233920747,0.3317465873219038
73,0,136205.13109837758,612695.7139172829,0.13383717762180422,0.6020438762504322
74,0,116950.28255994763,316194.53505500517,0.14708758326398175,0.3976757386514167
75,1,93195.78029131067,648554.8011077798,0.10528182894841835,0.7326623096074996
76,0,64501.72164999172,131953.81436361288,0.17652203170633401,0.3611183516815225
77,0,123177.00698968874,270346.4006006049,0.19344131400196116,0.4245610787755165
78,0,86443.30075910356,439958.14690733334,0.11340373302285402,0.5771748162665395
79,1,83264.53104818049,268558.63263522927,0.14891994683990561,0.4803214140759883
80,1,89029.94498432692,708911.9514350558,0.08605870036545103,0.6852530485644652
81,1,120628.03227304785,929210.3334836438,0.09595774725842257,0.7391725509416299
82,0,73959.53836757892,173855.06765351153,0.17458272112636605,0.4103877804335204
83,0,113439.02706901752,312640.4619038981,0.16237515268190156,0.4475095039849
84,0,65463.28547793718,188831.44855329537,0.15859255644295667,0.4574665317246683
85,1,82887.69470941767,215163.63876447268,0.14523695340856418,0.37701267344937117
86,0,86189.63706914848,526205.2893162528,0.10390055705335934,0.6343340631602793
87,0,92035.313623313,283941.0267777976,0.12437822807976841,0.3837231645052688
88,1,92443.42522335824,218215.182191936,0.13287540719592716,0.3136559589827972
89,1,156383.39721309007,746413.4208431467,0.12944409340088575,0.6178329048040878
90,0,89300.51466169552,513100.2312507683,0.07859030607661471,0.4515618344949642
91,1,286823.1811619513,988063.7036372382,0.09310476449247217,0.3207322297243537
92,1,127013.50249315567,563749.2154241991,0.13231149353330127,0.5872643396714614
93,1,108310.81842542977,293599.3158274621,0.1568695652939959,0.4252280401350485
94,1,89183.88316187891,447602.64599662344,0.13366803397761848,0.6708629807579698
95,1,143625.6827149635,960117.5921044442,0.10855664708875777,0.7256859959833021
96,0,146016.4225208852,887171.3982833467,0.10284014654202511,0.6248395559362702
97,1,88593.92327012382,225955.38561632417,0.15703245387864456,0.4005052193279755
98,1,98704.37043628916,529545.2888709201,0.12643181193057176,0.67830198475825
99,0,93266.55885213175,142554.80029836512,0.24888967316695276,0.38041949967182
100,0,68773.91961532395,151578.04584380426,0.17257804503492483,0.38036283184460656
101,1,131086.6165605449,931632.0111717065,0.09210659517724666,0.6546011695062992
102,0,95358.13787977841,152336.33730715068,0.23592734588244396,0.37689817084767413
103,0,84545.23739063085,492262.85350028105,0.10580732340027177,0.6160608988249977
104,0,75772.50144354181,158796.66388965855,0.1674330523955976,0.3508899619091223
105,1,78689.91484645748,184601.9833303536,0.1574910540129039,0.36946489247444825
106,1,153095.4371406447,1048688.3348714334,0.09519410298840959,0.6520700238818012
107,1,87288.09812051378,285265.0940734315,0.12833273076820673,0.4194025222631047
